"","From","Entry","Gene.Names","Protein.names","Protein.existence","Annotation","Gene.Ontology..GO.","Gene.Ontology.IDs","Gene.encoded.by"
"43","M3VVC4","M3VVC4","ADAMTSL4","ADAMTS like 4","Predicted","2","extracellular region [GO:0005576]; interstitial matrix [GO:0005614]; protease binding [GO:0002020]; epithelial cell development [GO:0002064]; extracellular matrix organization [GO:0030198]; pigment cell development [GO:0070285]; positive regulation of apoptotic process [GO:0043065]","GO:0002020; GO:0002064; GO:0005576; GO:0005614; GO:0030198; GO:0043065; GO:0070285",NA
"44","A0A337SUP1","A0A337SUP1","ADGRE2","Adhesion G protein-coupled receptor E2","Predicted","2","plasma membrane [GO:0005886]; calcium ion binding [GO:0005509]; G protein-coupled receptor activity [GO:0004930]; cell surface receptor signaling pathway [GO:0007166]","GO:0004930; GO:0005509; GO:0005886; GO:0007166",NA
"45","A0A5F5XF14","A0A5F5XF14","ADGRE5","Adhesion G protein-coupled receptor E5","Predicted","2","plasma membrane [GO:0005886]; calcium ion binding [GO:0005509]; G protein-coupled receptor activity [GO:0004930]; adenylate cyclase-activating G protein-coupled receptor signaling pathway [GO:0007189]; cell surface receptor signaling pathway [GO:0007166]","GO:0004930; GO:0005509; GO:0005886; GO:0007166; GO:0007189",NA
"46","A0A2I2UTI9","A0A2I2UTI9","ADGRF5","Adhesion G protein-coupled receptor F5","Inferred from homology","2","plasma membrane [GO:0005886]; G protein-coupled receptor activity [GO:0004930]; cell surface receptor signaling pathway [GO:0007166]","GO:0004930; GO:0005886; GO:0007166",NA
"47","A0A2I2UM02","A0A2I2UM02","ADGRG1","Adhesion G-protein coupled receptor G1 (G-protein coupled receptor 56)","Inferred from homology","3","extracellular region [GO:0005576]; membrane raft [GO:0045121]; plasma membrane [GO:0005886]; G protein-coupled receptor activity [GO:0004930]; heparin binding [GO:0008201]; cell adhesion [GO:0007155]; cell differentiation [GO:0030154]; cell surface receptor signaling pathway [GO:0007166]; nervous system development [GO:0007399]","GO:0004930; GO:0005576; GO:0005886; GO:0007155; GO:0007166; GO:0007399; GO:0008201; GO:0030154; GO:0045121",NA
"48","A0A5F5XG72","A0A5F5XG72","ADGRG1","Adhesion G-protein coupled receptor G1 (G-protein coupled receptor 56)","Inferred from homology","4","extracellular region [GO:0005576]; glial limiting end-foot [GO:0097451]; membrane raft [GO:0045121]; plasma membrane [GO:0005886]; collagen binding [GO:0005518]; extracellular matrix binding [GO:0050840]; G protein-coupled receptor activity [GO:0004930]; heparin binding [GO:0008201]; adenylate cyclase-activating G protein-coupled receptor signaling pathway [GO:0007189]; angiogenesis [GO:0001525]; cell adhesion [GO:0007155]; cell surface receptor signaling pathway [GO:0007166]; cerebral cortex regionalization [GO:0021796]; hematopoietic stem cell homeostasis [GO:0061484]; layer formation in cerebral cortex [GO:0021819]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of neuron migration [GO:2001223]; neural precursor cell proliferation [GO:0061351]; positive regulation of cell adhesion [GO:0045785]; positive regulation of neural precursor cell proliferation [GO:2000179]; positive regulation of Rho protein signal transduction [GO:0035025]; protein kinase C signaling [GO:0070528]; Rho protein signal transduction [GO:0007266]; seminiferous tubule development [GO:0072520]; vascular endothelial growth factor production [GO:0010573]","GO:0001525; GO:0004930; GO:0005518; GO:0005576; GO:0005886; GO:0007155; GO:0007166; GO:0007189; GO:0007266; GO:0008201; GO:0008285; GO:0010573; GO:0021796; GO:0021819; GO:0035025; GO:0045121; GO:0045785; GO:0050840; GO:0061351; GO:0061484; GO:0070528; GO:0072520; GO:0097451; GO:2000179; GO:2001223",NA
"49","A0A2I2U088","A0A2I2U088","ADGRG6","Adhesion G protein-coupled receptor G6","Inferred from homology","2","membrane [GO:0016020]; G protein-coupled receptor activity [GO:0004930]; cell surface receptor signaling pathway [GO:0007166]","GO:0004930; GO:0007166; GO:0016020",NA
"50","A0A2I2UB34","A0A2I2UB34","ADGRL1","Adhesion G protein-coupled receptor L1","Predicted","2","membrane [GO:0016020]; carbohydrate binding [GO:0030246]; G protein-coupled receptor activity [GO:0004930]; cell surface receptor signaling pathway [GO:0007166]","GO:0004930; GO:0007166; GO:0016020; GO:0030246",NA
"51","A0A2I2U0D3","A0A2I2U0D3","ADGRL2","Adhesion G protein-coupled receptor L2","Predicted","2","membrane [GO:0016020]; carbohydrate binding [GO:0030246]; G protein-coupled receptor activity [GO:0004930]; cell surface receptor signaling pathway [GO:0007166]","GO:0004930; GO:0007166; GO:0016020; GO:0030246",NA
"52","A0A2I2U5R8","A0A2I2U5R8","ADGRL3","Adhesion G protein-coupled receptor L3","Predicted","2","membrane [GO:0016020]; carbohydrate binding [GO:0030246]; G protein-coupled receptor activity [GO:0004930]; cell surface receptor signaling pathway [GO:0007166]","GO:0004930; GO:0007166; GO:0016020; GO:0030246",NA
"53","A0A337SL34","A0A337SL34","ADGRL4","Adhesion G protein-coupled receptor L4","Inferred from homology","2","plasma membrane [GO:0005886]; calcium ion binding [GO:0005509]; G protein-coupled receptor activity [GO:0004930]; adenylate cyclase-activating G protein-coupled receptor signaling pathway [GO:0007189]; cell surface receptor signaling pathway [GO:0007166]","GO:0004930; GO:0005509; GO:0005886; GO:0007166; GO:0007189",NA
"54","A0A3B0IPC1","A0A3B0IPC1","ADIA","Adiponectin A","Predicted","1","collagen trimer [GO:0005581]; extracellular region [GO:0005576]","GO:0005576; GO:0005581",NA
"55","A0A3B0J2D0","A0A3B0J2D0","ADID","Adiponectin D","Predicted","1","collagen trimer [GO:0005581]; extracellular region [GO:0005576]","GO:0005576; GO:0005581",NA
"56","A0A337SQU4","A0A337SQU4","ADPGK","ADP dependent glucokinase","Predicted","1","endoplasmic reticulum [GO:0005783]; ADP-specific glucokinase activity [GO:0043843]; glucose metabolic process [GO:0006006]; glycolytic process [GO:0006096]","GO:0005783; GO:0006006; GO:0006096; GO:0043843",NA
"57","A0A2I2U1Z3","A0A2I2U1Z3","AFM","Afamin","Predicted","2","cytoplasm [GO:0005737]; extracellular space [GO:0005615]; metal ion binding [GO:0046872]; vitamin E binding [GO:0008431]; protein stabilization [GO:0050821]; protein transport within extracellular region [GO:0071693]; vitamin transport [GO:0051180]","GO:0005615; GO:0005737; GO:0008431; GO:0046872; GO:0050821; GO:0051180; GO:0071693",NA
"58","M3XC81","M3XC81","AFMID","Kynurenine formamidase (KFA) (KFase) (EC 3.5.1.9) (Arylformamidase) (N-formylkynurenine formamidase) (FKF)","Inferred from homology","3","cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]; arylformamidase activity [GO:0004061]; 'de novo' NAD biosynthetic process from tryptophan [GO:0034354]; tryptophan catabolic process to kynurenine [GO:0019441]","GO:0004061; GO:0005634; GO:0005737; GO:0005829; GO:0019441; GO:0034354",NA
"59","M3X557","M3X557","AFP","Alpha-fetoprotein (Alpha-1-fetoprotein) (Alpha-fetoglobulin)","Predicted","2","cytoplasm [GO:0005737]; extracellular space [GO:0005615]; metal ion binding [GO:0046872]; small molecule binding [GO:0036094]; ovulation from ovarian follicle [GO:0001542]; progesterone metabolic process [GO:0042448]","GO:0001542; GO:0005615; GO:0005737; GO:0036094; GO:0042448; GO:0046872",NA
"60","A0A5F5XS55","A0A5F5XS55","AGA","Aspartylglucosaminidase","Inferred from homology","2","hydrolase activity [GO:0016787]","GO:0016787",NA
"61","M3X0F1","M3X0F1","AGA","Aspartylglucosaminidase","Inferred from homology","2","cytoplasm [GO:0005737]; endoplasmic reticulum [GO:0005783]; extracellular space [GO:0005615]; lysosome [GO:0005764]; N4-(beta-N-acetylglucosaminyl)-L-asparaginase activity [GO:0003948]","GO:0003948; GO:0005615; GO:0005737; GO:0005764; GO:0005783",NA
"62","Q6KCA0","Q6KCA0","agp","Alpha1-glycoprotein acid","Evidence at transcript level","1","extracellular space [GO:0005615]; acute-phase response [GO:0006953]; regulation of immune system process [GO:0002682]","GO:0002682; GO:0005615; GO:0006953",NA
"63","A0A5F5XI81","A0A5F5XI81","AGRN","Agrin","Predicted","3","basement membrane [GO:0005604]; extracellular region [GO:0005576]; plasma membrane [GO:0005886]; calcium ion binding [GO:0005509]; laminin binding [GO:0043236]; cell differentiation [GO:0030154]; receptor clustering [GO:0043113]","GO:0005509; GO:0005576; GO:0005604; GO:0005886; GO:0030154; GO:0043113; GO:0043236",NA
"64","A0A2I2UUP6","A0A2I2UUP6","AGT","Angiotensinogen (Serpin A8)","Inferred from homology","2","extracellular space [GO:0005615]; serine-type endopeptidase inhibitor activity [GO:0004867]; regulation of systemic arterial blood pressure by renin-angiotensin [GO:0003081]; vasoconstriction [GO:0042310]","GO:0003081; GO:0004867; GO:0005615; GO:0042310",NA
"65","A0A2I2U551","A0A2I2U551","AHCY","Adenosylhomocysteinase (S-adenosyl-L-homocysteine hydrolase)","Inferred from homology","2","one-carbon metabolic process [GO:0006730]","GO:0006730",NA
"66","A0A337SD37","A0A337SD37","AHSG","Alpha-2-HS-glycoprotein (Fetuin-A)","Predicted","2","extracellular region [GO:0005576]; cysteine-type endopeptidase inhibitor activity [GO:0004869]","GO:0004869; GO:0005576",NA
"67","A0A5F5XVZ8","A0A5F5XVZ8","AHSG","Alpha-2-HS-glycoprotein (Fetuin-A)","Predicted","2","extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; Golgi apparatus [GO:0005794]; cysteine-type endopeptidase inhibitor activity [GO:0004869]; endopeptidase inhibitor activity [GO:0004866]; acute-phase response [GO:0006953]; negative regulation of bone mineralization [GO:0030502]; ossification [GO:0001503]; positive regulation of phagocytosis [GO:0050766]; regulation of inflammatory response [GO:0050727]","GO:0001503; GO:0004866; GO:0004869; GO:0005576; GO:0005794; GO:0006953; GO:0030502; GO:0031012; GO:0050727; GO:0050766",NA
"68","A0A5F5XHI8","A0A5F5XHI8","AKR1A1","Aldo-keto reductase family 1 member A1 (EC 1.1.1.19) (EC 1.1.1.2) (EC 1.1.1.20) (EC 1.1.1.372) (EC 1.1.1.54) (Alcohol dehydrogenase [NADP(+)]) (Aldehyde reductase) (Glucuronate reductase) (Glucuronolactone reductase) (S-nitroso-CoA reductase)","Inferred from homology","5","apical plasma membrane [GO:0016324]; cytosol [GO:0005829]; synapse [GO:0045202]; aldose reductase (NADPH) activity [GO:0004032]; allyl-alcohol dehydrogenase activity [GO:0047655]; glucuronolactone reductase activity [GO:0047941]; L-glucuronate reductase activity [GO:0047939]; S-nitrosoglutathione reductase (NADH) activity [GO:0080007]; aldehyde catabolic process [GO:0046185]; cellular detoxification of aldehyde [GO:0110095]; D-glucuronate catabolic process [GO:0042840]; daunorubicin metabolic process [GO:0044597]; doxorubicin metabolic process [GO:0044598]; glucuronate catabolic process to xylulose 5-phosphate [GO:0019640]; L-ascorbic acid biosynthetic process [GO:0019853]","GO:0004032; GO:0005829; GO:0016324; GO:0019640; GO:0019853; GO:0042840; GO:0044597; GO:0044598; GO:0045202; GO:0046185; GO:0047655; GO:0047939; GO:0047941; GO:0080007; GO:0110095",NA
"69","A0A5F5XWS8","A0A5F5XWS8","AKR1B1","Aldo-keto reductase family 1 member B1 (EC 1.1.1.21) (EC 1.1.1.300) (Aldose reductase)","Inferred from homology","4","cytoplasm [GO:0005737]; oxidoreductase activity [GO:0016491]","GO:0005737; GO:0016491",NA
"70","A0A5F5XQC7","A0A5F5XQC7","AKR1C3","NADP-dependent oxidoreductase domain-containing protein","Inferred from homology","2","cytosol [GO:0005829]; aldose reductase (NADPH) activity [GO:0004032]; androsterone dehydrogenase activity [GO:0047023]; bile acid binding [GO:0032052]; ketosteroid monooxygenase activity [GO:0047086]; daunorubicin metabolic process [GO:0044597]; doxorubicin metabolic process [GO:0044598]; progesterone metabolic process [GO:0042448]; prostaglandin metabolic process [GO:0006693]","GO:0004032; GO:0005829; GO:0006693; GO:0032052; GO:0042448; GO:0044597; GO:0044598; GO:0047023; GO:0047086",NA
"71","M3WA76","M3WA76","AKR7L","Aldo-keto reductase family 7 like (gene/pseudogene)","Predicted","1","cytoplasm [GO:0005737]; aldo-keto reductase (NADPH) activity [GO:0004033]","GO:0004033; GO:0005737",NA
"72","P49064","P49064","ALB","Albumin (allergen Fel d 2)","Evidence at protein level","5","cytoplasm [GO:0005737]; extracellular space [GO:0005615]; protein-containing complex [GO:0032991]; DNA binding [GO:0003677]; enterobactin binding [GO:1903981]; fatty acid binding [GO:0005504]; metal ion binding [GO:0046872]; pyridoxal phosphate binding [GO:0030170]; toxic substance binding [GO:0015643]; cellular response to calcium ion starvation [GO:0072732]; cellular response to starvation [GO:0009267]; negative regulation of mitochondrial depolarization [GO:0051902]","GO:0003677; GO:0005504; GO:0005615; GO:0005737; GO:0009267; GO:0015643; GO:0030170; GO:0032991; GO:0046872; GO:0051902; GO:0072732; GO:1903981",NA
"73","A0A2I2U7Y0","A0A2I2U7Y0","ALB","Albumin","Predicted","3","cytoplasm [GO:0005737]; endoplasmic reticulum [GO:0005783]; extracellular exosome [GO:0070062]; Golgi apparatus [GO:0005794]; protein-containing complex [GO:0032991]; DNA binding [GO:0003677]; enterobactin binding [GO:1903981]; exogenous protein binding [GO:0140272]; fatty acid binding [GO:0005504]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; oxygen binding [GO:0019825]; protein-folding chaperone binding [GO:0051087]; pyridoxal phosphate binding [GO:0030170]; toxic substance binding [GO:0015643]; cellular response to calcium ion starvation [GO:0072732]; negative regulation of mitochondrial depolarization [GO:0051902]","GO:0003677; GO:0005504; GO:0005737; GO:0005783; GO:0005794; GO:0015643; GO:0019825; GO:0030170; GO:0032991; GO:0042802; GO:0046872; GO:0051087; GO:0051902; GO:0070062; GO:0072732; GO:0140272; GO:1903981",NA
"74","A0A2I2UX74","A0A2I2UX74","ALCAM","CD166 antigen (Activated leukocyte cell adhesion molecule)","Predicted","2","axon [GO:0030424]; dendrite [GO:0030425]; plasma membrane [GO:0005886]","GO:0005886; GO:0030424; GO:0030425",NA
"75","M3WAV4","M3WAV4","ALDH1A1","aldehyde dehydrogenase (NAD(+)) (EC 1.2.1.3)","Inferred from homology","2","cytosol [GO:0005829]; 3-deoxyglucosone dehydrogenase activity [GO:0106373]; benzaldehyde dehydrogenase (NAD+) activity [GO:0018479]; cellular detoxification of aldehyde [GO:0110095]; fructosamine catabolic process [GO:0030392]","GO:0005829; GO:0018479; GO:0030392; GO:0106373; GO:0110095",NA
"76","A0A337RUT4","A0A337RUT4","ALDH1L1","10-formyltetrahydrofolate dehydrogenase (EC 1.5.1.6)","Inferred from homology","3","cytosol [GO:0005829]; aldehyde dehydrogenase (NAD+) activity [GO:0004029]; formyltetrahydrofolate dehydrogenase activity [GO:0016155]; 10-formyltetrahydrofolate catabolic process [GO:0009258]; biosynthetic process [GO:0009058]; one-carbon metabolic process [GO:0006730]","GO:0004029; GO:0005829; GO:0006730; GO:0009058; GO:0009258; GO:0016155",NA
"77","A0A337STY8","A0A337STY8","ALDH2","Aldehyde dehydrogenase, mitochondrial (EC 1.2.1.3) (ALDH class 2) (ALDH-E2)","Inferred from homology","2","mitochondrial matrix [GO:0005759]; oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor [GO:0016620]","GO:0005759; GO:0016620",NA
"78","A0A337RWN1","A0A337RWN1","ALDH7A1","aldehyde dehydrogenase (NAD(+)) (EC 1.2.1.3)","Inferred from homology","2","aldehyde dehydrogenase (NAD+) activity [GO:0004029]; glyceraldehyde-3-phosphate dehydrogenase (NAD+) (non-phosphorylating) activity [GO:0043878]","GO:0004029; GO:0043878",NA
"79","A0A337S2J9","A0A337S2J9","ALDH8A1","Aldehyde dehydrogenase 8 family member A1","Inferred from homology","1","oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor [GO:0016620]","GO:0016620",NA
"80","A0A337SF20","A0A337SF20","ALDH8A1","Aldehyde dehydrogenase 8 family member A1","Inferred from homology","1","oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor [GO:0016620]","GO:0016620",NA
"81","M3W1Z4","M3W1Z4","ALDH9A1","4-trimethylaminobutyraldehyde dehydrogenase (EC 1.2.1.19) (EC 1.2.1.3) (EC 1.2.1.46) (EC 1.2.1.47) (Aldehyde dehydrogenase family 9 member A1) (Formaldehyde dehydrogenase) (Gamma-aminobutyraldehyde dehydrogenase)","Inferred from homology","5","cytoplasm [GO:0005737]; 4-trimethylammoniobutyraldehyde dehydrogenase activity [GO:0047105]; aminobutyraldehyde dehydrogenase activity [GO:0019145]; formaldehyde dehydrogenase activity [GO:0018467]; cellular aldehyde metabolic process [GO:0006081]; protein homotetramerization [GO:0051289]","GO:0005737; GO:0006081; GO:0018467; GO:0019145; GO:0047105; GO:0051289",NA
"82","A0A337S416","A0A337S416","ALDOA","Fructose-bisphosphate aldolase (EC 4.1.2.13)","Inferred from homology","2","I band [GO:0031674]; M band [GO:0031430]; fructose-bisphosphate aldolase activity [GO:0004332]; glycolytic process [GO:0006096]","GO:0004332; GO:0006096; GO:0031430; GO:0031674",NA
